post_id,user_id,username,content,post_date,likes,comments,shares,post_type
34,134,henry_travel,"Safari adventure in Kenya ","2023-06-18 09:50:00",950,63,41,image
33,133,grace_tech,"iOS 17 first impressions","2023-06-17 15:15:00",530,39,17,video
32,132,finn_fitness,"Home workout without equipment","2023-06-17 08:30:00",390,26,12,reel
31,131,ella_photo,"Golden hour portraits ","2023-06-16 19:20:00",720,51,29,image
30,130,dave_food,"BBQ party essentials ","2023-06-16 12:45:00",630,45,24,image
29,129,cara_gaming,"Minecraft castle build timelapse","2023-06-15 21:00:00",1100,76,55,video
28,128,ben_art,"Charcoal portrait sketch ","2023-06-15 14:10:00",310,22,8,image
27,127,amy_books,"Book recommendations thread!","2023-06-14 17:30:00",190,14,4,text
26,126,zack_gadgets,"Testing wireless earbuds","2023-06-14 10:25:00",450,34,13,video
25,125,yara_bake,"Macarons anyone? ","2023-06-13 18:50:00",370,27,10,image
24,124,xena_travel,"Hiking in the Alps ","2023-06-13 11:15:00",780,54,33,image
23,123,will_tech,"Building a custom PC setup","2023-06-12 13:40:00",590,42,20,video
22,122,vicky_fit,"Yoga session by the beach ","2023-06-12 07:20:00",420,31,11,reel
21,121,umar_photo,"Wildlife photography ","2023-06-11 16:30:00",680,47,26,image
20,120,tina_food,"Breakfast smoothie bowl ","2023-06-11 09:45:00",510,36,18,image
19,119,sam_gaming,"Live streaming Fortnite tonight!","2023-06-10 22:00:00",1350,98,72,video
18,118,rachel_art,"Abstract painting finished ","2023-06-10 15:00:00",290,19,7,image
17,117,quincy_music,"New song release tomorrow! ","2023-06-09 19:10:00",870,59,38,text
16,116,paula_style,"Summer outfit ideas ","2023-06-09 12:30:00",380,29,14,image
15,115,oliver_cook,"Baked a chocolate cake today! ","2023-06-08 17:45:00",540,41,22,image
14,114,nina_travel,"Exploring Tokyo streets ","2023-06-08 10:20:00",920,67,45,image
13,113,mike_tech,"Unboxing the new laptop","2023-06-07 14:50:00",410,33,12,video
12,112,lisa_fitness,"New PR at the gym! ","2023-06-07 08:15:00",320,28,9,reel
11,111,kevin_photo,"Cityscape at night ","2023-06-06 21:30:00",760,52,31,image
10,110,jane_foodie,"Sushi night! ","2023-06-05 19:00:00",430,38,19,image
9,109,ian_gaming,"Speedrun record achieved! ","2023-06-05 10:30:00",1500,112,87,video
8,108,hannah_books,"Just finished this novel! ","2023-06-04 20:45:00",210,15,3,text
7,107,gary_music,"Cover of "Blinding Lights"","2023-06-04 16:10:00",670,43,28,video
6,106,fiona_art,"New painting in progress ","2023-06-03 13:20:00",340,21,5,image
5,105,evan_fit,"Morning workout routine ","2023-06-03 07:30:00",1200,95,65,reel
4,104,diana_travel,"Sunset in Bali ","2023-06-02 18:00:00",890,78,42,image
3,103,charlie_food,"Homemade pizza recipe ","2023-06-02 14:45:00",520,45,30,image
2,102,bob_tech,"New smartphone review is live!","2023-06-01 11:30:00",180,25,8,video
1,101,alice_wonder,"Enjoying the weekend! #WeekendVibes","2023-06-01 09:15:00",245,32,12,image
